key,de,en,comment
media_entry_export_no_content,Sie haben keine Zugriffsrechte für die Originaldatei und es steht keine Vorschau zur Verfügung.,You have no access to the original file and there is no preview available.,
media_entry_export_original_hint,Download original file as it was when it was uploaded.,Download original file as it was uploaded.,
media_entry_export_original,Original,Original,
media_entry_export_subtitle_audios,Audios,Audios,
media_entry_export_subtitle_documents,Dokumente,Dokumente,
media_entry_export_subtitle_images,Bilder,Bilder,
media_entry_export_subtitle_videos,Videos,Videos,
media_entry_export_title,Eintrag exportieren,Download Entry,
media_entry_file_information_title,Datei,File Information,
media_entry_media_import_gotodrafts,Gehe zu ungesicherten Medieneinträgen,Go to Drafts,
media_entry_media_import_header,Medien importieren,Media upload,
media_entry_media_import_inside_nojs,Dateien auswählen,Select Files,
media_entry_media_import_inside,Dateien auf dieses Feld ziehen oder,Drag & drop files here or,
media_entry_media_import_notes_msg,"Bilder (TIFF, JPEG, PNG) sowie Audio- und Videofiles in den gängigsten Formaten werden direkt verarbeitet und dargestellt. Bilder im CMYK-Farbraum werden nicht korrekt dargestellt. Wandeln Sie diese vor dem Import in RGB um.","Images (TIFF, JPEG, PNG) and audio/video files in the most common formats are directly processed and displayed. Images in the CMYK color model cannot be displayed correctly, please convert them to RGB before uploading.",
media_entry_media_import_notes_title,Hinweise,Hints,
media_entry_media_import_title,"Bilder, Videos, Audio-Dateien oder Dokumente bereitstellen.","Add pictures, videos, audio file, or other documents.",
media_entry_meta_data_header_prefix,Medieneintrag editieren: ,Edit Media Entry:,
media_entry_more_data_title,Verantwortlichkeit und Aktivität,Responsibility,
media_entry_not_published_warning_msg,Dieser Medieneintrag ist noch nicht gesichert!,Media entry is not saved yet!,
media_entry_select_collection_flash_result,Eintrag aus %{removed_count} Set(s) entfernt. Zu %{added_count} Set(s) hinzugefügt.,Removed entry from %{removed_count} set(s). Added entry to %{added_count} set(s).,TODO_cleanup_interpolation
media_entry_tab_main,Medieneintrag,Media Entry,
media_entry_tab_more_data,Alle Daten,All Data,
media_entry_tab_permissions,Berechtigungen,Permissions,
media_entry_tab_relations,Zusammenhänge,Relations,
media_entry_upload_btn,Importieren,Upload,
media_entry_was_disfavored,Der Medieneintrag wurde von den Favoriten entfernt.,Media entry was removed from favorites.,
media_entry_was_favored,Der Medieneintrag wurde zu den Favoriten hinzugefügt.,Media entry was added to favorites.,
meta_data_action_delete_btn,Löschen,Delete,
meta_data_action_edit_btn,Bearbeiten,Edit,
meta_data_batch_failure,Metadaten konnten nicht aktualisiert werden.,Metadata could not be updated.,
meta_data_batch_hint_differences_override,"Achtung: Bestehende Werte werden durch Änderungen überschrieben! Wenn keine Änderungen vorgenommen werden, bleiben die verschiedenen Werte erhalten.",Attention: Changes will replace exiting values. Without changes values will be preserved.,
meta_data_batch_hint_differences,Unterschiedliche Metadaten vorhanden,Different metadata in place.,
meta_data_batch_hint_equal_data,Gleiche Metadaten vorhanden,Same metadata in place.,
meta_data_batch_hint_no_data,Noch keine Metadaten vorhanden,No metadata available yet.,
meta_data_batch_hint_value,Wert und Text,Value and text,
meta_data_batch_items_selected,Einträge selektiert,entries selected,
meta_data_batch_success,Metadaten wurden erfolgreich aktualisiert.,Succesfully updated metadata.,
meta_data_batch_title_post, Einträge gleichzeitig editieren, Einträge gleichzeitig editieren,
meta_data_batch_title_pre,Metadaten für ,Metadaten für ,
meta_data_blank_value_for_required_meta_key_post,!,!,
meta_data_blank_value_for_required_meta_key_post,!,!,
meta_data_blank_value_for_required_meta_key_pre,Metadatum-Wert nicht vorhanden für Meta-Key ,Blank metadatum value for meta key ,
meta_data_blank_value_for_required_meta_key_pre,Metadatum-Wert nicht vorhanden für Meta-Key ,Blank metadatum value for meta key ,
meta_data_delete_confirm_msg,"Sind Sie sicher, dass Sie diese Werte löschen wollen?",Are you sure you want to delete these values?,
meta_data_edit_collection_saved,Set wurde gespeichert.,Collection was saved.,
meta_data_edit_media_entry_published,Eintrag wurde gespeichert und publiziert.,Entry was saved and published.,
meta_data_edit_media_entry_saved_missing,Eintrag wurde gespeichert aber es wurden nicht alle Pflichtfelder ausgefüllt.,Entry was saved but there are missing mandatory fields.,
meta_data_edit_media_entry_saved,Eintrag wurde gespeichert.,Entry was saved.,
meta_data_form_cancel,Abbrechen,Cancel,
meta_data_form_save,Speichern,Save,
meta_data_form_publish,Publizieren,Publish,
meta_data_form_submit_btn,Speichern,Submit,
meta_data_header_text,Werte,Values,
meta_data_meta_key_label,Schlüssel,Key,
meta_data_type_label,Typ,Type,
meta_data_value_label,Wert,Value,
no_content_fallback,(Keine Inhalte vorhanden.),(No content available.),
no_groups_fallback,(Keine Gruppen vorhanden.),(No groups available.),
no_keywords_fallback,(Keine Schlagworte vorhanden.),(No keywords available.),
no_relations_title,Es wurden keine Zusammenhänge gefunden.,No relations found.,
pagination_of,von,of,
pagination_prefix,Seite,Page,
people_toolbar_header,Ähnliche Inhalte,Related Resources,
permission_name_edit_metadata_and_relations,Metadaten editieren & Inhalte hinzufügen,Edit Metadata and contents,
permission_name_edit_metadata,Metadaten editieren,Edit metadata,
permission_name_edit_permissions,Zugriffsberechtigungen ändern,Edit permissions,
permission_name_get_full_size,Original exportieren & in PDF blättern,Download original & browse PDF,
permission_name_get_metadata_and_previews,Betrachten,View,
permission_overridden_by_public,(überschrieben durch die öffentlichen Berechtigungen),(overridden by public permissions),
permission_subject_name_public,Internet,Internet,
permission_subject_title_apiapps,API-Applikationen,API Clients,
permission_subject_title_groups,Gruppen,Groups,
permission_subject_title_public,Öffentlichkeit,Public,
permission_subject_title_users,Personen,Users,
permissions_overview_yours_msg_end,", haben gegenwärtig als Person oder als Mitglied einer Gruppe folgende Berechtigungen",", currently have the following permissions (either directly or as a member of a group):",
permissions_overview_yours_msg_start,"Sie, ","You, ",
permissions_overview_yours_title,Ihre Berechtigungen,Your Permissions,
permissions_responsible_user_msg,Die verantwortliche Person hat alle Berechtigungen zu den ausgewählten Inhalten und kann diese auch löschen.,The responsible user has all permissions for the selected content and can also delete it.,
permissions_responsible_user_title,Verantwortliche Person,Responsible User,
permissions_table_cancel_btn,Abbrechen,Cancel,
permissions_table_edit_btn,Bearbeiten,Edit,
permissions_table_remove_subject_btn,Berechtigung entfernen,Remove Permissions,
permissions_table_save_btn,Speichern,Save,
permissions_table_title,Berechtigungen,Permissions,
picture_alt_fallback,(unbekannt),(unkown),
picture_alt_prefix,Bild: ,Picture:,
relations_parents_title,Übergeordnete Sets,Parents,
relations_siblings_title,Benachbarte Sets,Siblings,
relations_title,Zusammenhänge,Relations,
resource_action_destroy,Medieneintrag löschen,Delete media entry,
resource_action_edit,Editieren,Edit,
resource_action_export,Exportieren,Download,
resource_action_favor,Zu Favoriten hinzufügen/entfernen,Add to/Remove from favorites,
resource_action_manage_collections,Zu Sets hinzufügen/Aus Sets entfernen,Add to/Remove from sets,
resource_ask_delete_cancel,Abbrechen,Cancel,
resource_ask_delete_ok,Löschen,Delete,
resource_ask_delete_question_post,?,?,
resource_meta_data_copyright_notice,Rechte am geistigen Eigentum,Copyright notice,
resource_meta_data_date,Datierung,Date,
resource_meta_data_description,Beschreibung,Description,
resource_meta_data_fallback,Es sind keine Metadaten zu diesem Kontext bereitgestellt.,No metadata for this context.,
resource_meta_data_has_validation_errors,Es gibt fehlerhafte Eingabefelder.,Es gibt fehlerhafte Eingabefelder.,
resource_meta_data_keywords,Schlagworte,Keywords,
resource_meta_data_resource_type,Medientyp,Media type,
resource_meta_data_responsible,Verantwortliche Person,Responsible user,
resource_meta_data_saved_filter,Gespeicherter Filter,Saved filter,
resource_meta_data_title,Titel,Title,
resource_select_collection_cancel,Abbrechen,Cancel,
resource_select_collection_clear,Löschen,Clear,
resource_select_collection_hint_more,Es wurden noch weitere Sets gefunden. Bitte verfeinern Sie Ihre Suche.,Additional sets were found. Please refine your search.,
resource_select_collection_hint_search,"Suchen Sie Sets und markieren Sie diejenigen, in denen der Medieneintrag enthalten sein soll.",Search for and select sets that should hold the media entry.,
resource_select_collection_non_assigned,Inhalt ist noch keinem Set zugewiesen.,Entry is not yet part of any set.,
resource_select_collection_non_found,Zu dieser Suche wurde kein Set gefunden.,No set was found.,
resource_select_collection_save,Speichern,Save,
resource_select_collection_search_placeholder,Suche,Search,
resource_select_collection_search,Suchen,Search,
resource_select_collection_title,Zu Set hinzufügen/entfernen,Add to/remove from set,
resources_box_batch_actions_addtoset,Ausgewählte zu Set hinzufügen,Add selected to Set,
resources_box_batch_actions_delete,Ausgewählte löschen,Delete selected,
resources_box_batch_actions_edit,Metadaten von Medieneinträgen editieren,Edit MetaData,
resources_box_batch_actions_menu_title,Aktionen,Actions,
resources_box_batch_actions_save,Als FilterSet speichern,Save as FilterSet,
resources_box_title_count_post,Inhalte,Items,
resources_header_show_all,alle anzeigen,show all,
search_btn_search,Suchen,Search,
sitemap_api,API,API,
sitemap_collections,Sets,Sets,
sitemap_entries,Medieneinträge,Entries,
sitemap_explore,Erkunden,Explore,
sitemap_filter_sets,Filtersets,Filter sets,
sitemap_help,Support,Support,
sitemap_media_entries,Medieneinträge,Entries,
sitemap_my_archive_title,Mein Archiv,My Archive,
sitemap_my_archive,Mein Archiv,My archive,
sitemap_my_content_collections_title,Meine Sets,My Sets,
sitemap_my_content_collections,Meine Sets,My sets,
sitemap_my_content_filter_sets_title,Meine Filtersets,My Filter Sets,
sitemap_my_content_filter_sets,Meine Filtersets,My filter sets,
sitemap_my_content_media_entries_title,Meine Medieneinträge,My Media Entries,
sitemap_my_content_media_entries,Meine Medieneinträge,My media entries,
sitemap_my_entrusted_collections_title,Mir anvertraute Sets,My Entrusted Sets,
sitemap_my_entrusted_collections,Mir anvertraute Sets,My entrusted sets,
sitemap_my_entrusted_filter_sets_title,Mir anvertraute Filtersets,My Entrusted Filter Sets,
sitemap_my_entrusted_filter_sets,Mir anvertraute Filtersets,My entrusted filter sets,
sitemap_my_entrusted_media_entries_title,Mir anvertraute Medieneinträge,My Entrusted Media Entries,
sitemap_my_entrusted_media_entries,Mir anvertraute Medieneinträge,My entrusted media entries,
sitemap_my_favorite_collections_title,Meine Favoriten (Sets),My Favorites (Sets),
sitemap_my_favorite_collections,Meine Favoriten (Sets),My favorites (sets),
sitemap_my_favorite_filter_sets_title,Meine Favoriten (Filtersets),My Favorites (Filter Sets),
sitemap_my_favorite_filter_sets,Meine Favoriten (Filtersets),My favorites (filter sets),
sitemap_my_favorite_media_entries_title,Meine Favoriten (Medieneinträge),My Favorites (Media Entries),
sitemap_my_favorite_media_entries,Meine Favoriten (Medieneinträge),My favorites (media entries),
sitemap_my_groups_title,Meine Arbeitsgruppen,My Work Groups,
sitemap_my_groups,Meine Arbeitsgruppen,My work groups,
sitemap_my_latest_imports_title,Meine letzten Importe,My Latest Uploads,
sitemap_my_latest_imports,Meine letzten Importe,My latest uploads,
sitemap_my_unpublished_title,Meine ungesicherten Medieneinträge,My Unsaved Media Entries,
sitemap_my_unpublished,Meine ungesicherten Medieneinträge,My unsaved media entries,
sitemap_my_used_keywords_title,Meine Schlagworte,My Keywords,
sitemap_my_used_keywords,Meine Schlagworte,My keywords,
sitemap_search,Suche,Search,
user_menu_admin_ui,Admin-Interface öffnen,Open Admin Interface,
user_menu_login_btn,Anmelden,Log in,
user_menu_logout_btn,Abmelden,Log out,
user_menu_upload,Medien importieren,Upload Media,
workgroup_link_to_contents_text,Inhalte,Contents,
workgroup_link_to_contents_title,Inhalte dieser Arbeitsgruppe anzeigen,View contents of this work group,
workgroup_members_table_is_member,Mitglied?,Member?,
workgroup_members_table_login,Login,Login,
workgroup_members_table_title,Mitglieder,Members,
